"","stop_id","passing_values","frequent_stop","stop_name","geometry","RTA"
"154","2594078",1,FALSE,"Melrose Street & Water Street",c(226872.792963615, 938852.026262713),"MVRTA"
"155","2594186",0,FALSE,"School Street & Central Street",c(229250.517860755, 933819.356436448),"MVRTA"
"156","2594190",0,FALSE,"Port Plaza - Shaws",c(248688.867498992, 952363.979211894),"MVRTA"
"157","2594274",0,FALSE,"Westgate - Market Basket",c(231595.88795972, 947175.881780594),"MVRTA"
"158","2594327",1,FALSE,"Merrimack Avenue & Intervale Avenue - Lenzis Bakery",c(220100.966145148, 934378.218726391),"MVRTA"
"159","2613752",0,FALSE,"Winter Street & Lafayette Square",c(233663.599904812, 947511.78558129),"MVRTA"
"160","2616256",0,FALSE,"Pond Street - CVS",c(251244.275746368, 950929.431747985),"MVRTA"
"161","2616257",0,FALSE,"High Street & Green Street",c(251224.994076495, 951051.975518046),"MVRTA"
"162","2628774",0,FALSE,"Branch Street - Dana-Farber Cancer Institute",c(223355.910701215, 939653.577006724),"MVRTA"
"163","2628782",0,FALSE,"Salisbury Senior Center",c(251990.786238404, 955257.054247835),"MVRTA"
"164","2729452",0,FALSE,"Cedardale",c(232477.990098602, 944698.266331275),"MVRTA"
"165","2729483",1,FALSE,"200 Minuteman Road",c(223509.59026456, 938213.823443519),"MVRTA"
"166","3475107",2,FALSE,"Mt Vernon Street & North Street",c(225790.435076614, 936194.242315379),"MVRTA"
"167","3475112",2,FALSE,"Andover Street & Beacon Street",c(226781.124989348, 937802.158987156),"MVRTA"
"168","3672636",1,FALSE,"Main St & Route 110",c(246590.093873963, 955395.20361728),"MVRTA"
"169","3673333",1,FALSE,"Route 110 & Main St",c(246554.548825851, 955370.451056306),"MVRTA"
"170","3880688",0,FALSE,"Groveland Housing",c(238860.299812692, 946629.472178964),"MVRTA"
