DOW,stop_id,direction_id,firstArrival_mam,lastArrival_mam,trips,averageHeadway,longestHeadway,Percentile90_hw,span_min,span_max,freq_min,span_pass,freq_pass,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon
WD,798325,NA,366,1081,22,34.04761904761905,105,55,420,1140,15,FALSE,FALSE,,,Dock Square,,42.65857813,-70.61738533
WD,798326,NA,395,1105,75,9.594594594594595,45,27,420,1140,15,FALSE,TRUE,,,Dunkin' Donuts,,42.6136316,-70.6592043
WD,798331,NA,551,1031,5,120,120,120,420,1140,15,FALSE,FALSE,,,East Main St & Rocky Neck Ave,,42.6034725,-70.6545933
WD,798338,NA,470,1010,5,135,180,162,420,1140,15,FALSE,FALSE,,,Essex Ave & Magnolia Ave,,42.61071203,-70.70788133
WD,798339,NA,460,1000,5,135,180,162,420,1140,15,FALSE,FALSE,,,Essex Ave & Concord St,,42.61766504,-70.71135832
WD,798340,NA,467,1007,5,135,180,162,420,1140,15,FALSE,FALSE,,,Essex Ave & Lawrence Mountain Rd,,42.6230225,-70.7294938
WD,798341,NA,473,1013,5,135,180,162,420,1140,15,FALSE,FALSE,,,Essex Ave & Edgewood Rd,,42.6138101,-70.6890008
WD,798342,NA,461,1001,5,135,180,162,420,1140,15,FALSE,FALSE,,,Essex Ave & Fernald St,,42.6220192,-70.7262721
WD,798343,NA,465,1005,5,135,180,162,420,1140,15,FALSE,FALSE,,,Essex Ave & Forest Ln,,42.6238669,-70.7366911
WD,798344,NA,468,1008,5,135,180,162,420,1140,15,FALSE,FALSE,,,Essex Ave & New Way Ln,,42.6174769,-70.7146807
WD,798345,NA,464,1004,5,135,180,162,420,1140,15,FALSE,FALSE,,,Essex Ave & Woodman St,,42.6261137,-70.7456615
WD,798346,NA,462,1002,5,135,180,162,420,1140,15,FALSE,FALSE,,,Essex Ave & Sumner St,,42.6237685,-70.7360583
WD,798347,NA,463,1003,10,60,180,131.99999999999994,420,1140,15,FALSE,FALSE,,,Essex Town Line,,42.628692,-70.7503357
WD,798351,NA,496,1036,10,60,60,60,420,1140,15,FALSE,FALSE,,,Gloucester Crossing,,42.62366,-70.661748
WD,798352,NA,487,1027,10,60,60,60,420,1140,15,FALSE,FALSE,,,Gloucester High School,,42.613532,-70.6751916
WD,798353,NA,390,1110,23,32.72727272727273,60,49,420,1140,15,FALSE,FALSE,,,Commuter Rail Station - Gloucester,,42.61657151,-70.66754752
WD,798354,NA,525,1005,5,120,120,120,420,1140,15,FALSE,FALSE,,,Good Harbor Beach,,42.6225644,-70.63198094
WD,798355,NA,425,970,5,136.25,180,163.5,420,1140,15,FALSE,FALSE,,,Hammond Castle,,42.5856884,-70.6931195
WD,798356,NA,456,996,5,135,180,162,420,1140,15,FALSE,FALSE,,,Heights at Cape Ann,,42.6139683,-70.6886748
WD,798358,NA,378,963,6,117,120,120,420,1140,15,FALSE,FALSE,,,Lanesville Post Office,,42.67765898,-70.65877859
WD,798362,NA,429.26612877578793,974.2661287757879,5,136.25,180,163.5,420,1140,15,FALSE,FALSE,,,Lexington Ave & Flume Rd,,42.5760471005007,-70.7123213362457
WD,798364,NA,486,1026,10,60,60,60,420,1140,15,FALSE,FALSE,,,Lincoln Park,,42.6155158,-70.6739164
WD,798368,NA,428,975,15,39.07142857142857,178,121.50000000000001,420,1140,15,FALSE,FALSE,,,Magnolia Square,,42.5772319,-70.7146661
WD,798369,NA,416,1106,43,16.428571428571427,55.39045318532544,30.39045318532544,420,1140,15,FALSE,FALSE,,,Main St & Pleasant St,,42.612909,-70.6615456
WD,798372,NA,517,1046.2641787843547,10,58.80713097603942,60,60,420,1140,15,FALSE,FALSE,,,Sheedy Park,,42.6164762668077,-70.6630988081787
WD,798374,NA,523,1047.7675962631781,10,58.30751069590868,60,60,420,1140,15,FALSE,FALSE,,,McPherson Park,,42.614762904496,-70.6664177209412
WD,798375,NA,507,1042.6542326975741,10,59.517136966397125,60,60,420,1140,15,FALSE,FALSE,,,Millpond Medical Building,,42.6282009,-70.6779186
WD,798376,NA,517,997,5,120,120,120,420,1140,15,FALSE,FALSE,,,Niles Beach,,42.5969526,-70.6537327
WD,798380,NA,372,957,6,117,120,120,420,1140,15,FALSE,FALSE,,,Pigeon Cove Post Office,,42.676514,-70.624529
WD,798381,NA,511,1044.730907907046,10,59.303434211894,60,60,420,1140,15,FALSE,FALSE,,,Poplar Park,,42.6245296,-70.6697089
WD,798382,NA,524,1048.2738652556006,10,58.25265169506674,60,60,420,1140,15,FALSE,FALSE,,,Post Office - City Hall,,42.6140742,-70.6632582
WD,798386,NA,436,981,5,136.25,180,163.5,420,1140,15,FALSE,FALSE,,,Ravenswood Park,,42.5944782,-70.6890026
WD,798387,NA,365,1133,44,17.86046511627907,102,47,420,1140,15,FALSE,FALSE,,,Rockport Market,,42.65695599,-70.61834408
WD,798388,NA,369,1131,13,63.5,117,117,420,1140,15,FALSE,FALSE,,,Train Station - Rockport,,42.6562961,-70.6260404
WD,798390,NA,530,1050,10,57.77777777777778,60,60,420,1140,15,FALSE,FALSE,,,Senior Center - Dunkin' Donuts,,42.613531,-70.659259
WD,798395,NA,422,983,10,62.333333333333336,164,119.99999999999996,420,1140,15,FALSE,FALSE,,,Western Ave & Stage Fort Park,,42.6084293,-70.6781411
WD,798400,NA,366,1081.2070992178003,17,44.70044370111252,105,60.00000000000006,420,1140,15,FALSE,FALSE,,,Toad Hall Bookstore,,42.6583104,-70.6193554
WD,798414,NA,458,1011,10,61.44444444444444,167,118.99999999999996,420,1140,15,FALSE,FALSE,,,Train Station - West Gloucester,,42.61159669,-70.70503616
WD,798415,NA,453.08797035391706,993.0879703539171,5,135,180,162,420,1140,15,FALSE,FALSE,,,Western Ave & Centennial Ave,,42.6101892,-70.6725996
WD,798417,NA,434,979,5,136.25,180,163.5,420,1140,15,FALSE,FALSE,,,Western Ave & Magnolia Ave,,42.5852725,-70.7167935
WD,801985,NA,531,1011,5,120,120,120,420,1140,15,FALSE,FALSE,,,Cape Hedge Inn,,42.64096276,-70.60067876
WD,801986,NA,458,1090,32,20.387096774193548,32,32,420,1140,15,FALSE,FALSE,,,Stop & Shop - CVS,,42.61859043,-70.6424938
WD,801990,NA,460,1087,22,29.857142857142858,33,33,420,1140,15,FALSE,FALSE,,,Shaw's Supermarket,,42.62291714,-70.64021734
WD,802509,NA,453,1113,7,110,120,120,420,1140,15,FALSE,FALSE,,,Addison Gilbert Hospital,,42.62598563,-70.67980067
WD,802510,NA,459,1119,7,110,120,120,420,1140,15,FALSE,FALSE,,,Annisquam Village Church,,42.6615894,-70.6709644
WD,802517,NA,462,1122,7,110,120,120,420,1140,15,FALSE,FALSE,,,Lanesville Post Office,,42.677583,-70.658737
WD,802518,NA,468,1128,7,110,120,120,420,1140,15,FALSE,FALSE,,,Pigeon Cove Post Office,,42.6765189,-70.6243815
WD,807762,NA,515,995,5,120,120,120,420,1140,15,FALSE,FALSE,,,East Main St & Rocky Neck Ave,,42.6035311,-70.6546882
WD,807764,NA,546,1026,5,120,120,120,420,1140,15,FALSE,FALSE,,,Atlantic St & Moorland Rds,,42.6102086,-70.6341039
WD,807765,NA,549,1029,5,120,120,120,420,1140,15,FALSE,FALSE,,,Niles Beach,,42.59705622,-70.65368713
WD,807773,NA,545,1025,5,120,120,120,420,1140,15,FALSE,FALSE,,,Good Harbor Beach Footbridge,,42.617633,-70.636018000000007
