DOW,stop_id,firstArrival_mam,lastArrival_mam,trips,averageHeadway,longestHeadway,Percentile90_hw,span_min,span_max,freq_min,span_pass,freq_pass,stop_code,stop_name,stop_desc,platform_code,stop_lat,stop_lon
WD,278,314,1479,180,6.5083798882681565,55,20,420,1140,15,TRUE,TRUE,278,E 8th St @ L St,,,42.331504,-71.035149
WD,2783,370,1285,47,19.891304347826086,65,44,420,1140,15,TRUE,FALSE,2783,River St @ Hyde Park Ave,,,42.255826,-71.124343
WD,2784,371,1286,27,35.19230769230769,77,60,420,1140,15,TRUE,FALSE,2784,11 Summer St,,,42.25641,-71.125917
WD,2785,372,1286,27,35.15384615384615,76,60,420,1140,15,TRUE,FALSE,2785,61 Summer St opp Parrott St,,,42.258998,-71.125093
WD,2786,373,1287,27,35.15384615384615,76,60,420,1140,15,TRUE,FALSE,2786,Summer St @ West St,,,42.26264,-71.124565
WD,2787,373,1287,27,35.15384615384615,76,60,420,1140,15,TRUE,FALSE,2787,West St @ Austin St,,,42.263233,-71.125455
WD,2788,373,1287,27,35.15384615384615,76,60,420,1140,15,TRUE,FALSE,2788,243 West St opp Myopia Rd,,,42.264152,-71.126798
WD,2789,374,1288,27,35.15384615384615,76,60,420,1140,15,TRUE,FALSE,2789,West St @ Deforest St,,,42.265549,-71.128704
WD,279,314,1479,180,6.5083798882681565,55,20,420,1140,15,TRUE,TRUE,279,E 8th St @ K St,,,42.331469,-71.037505
WD,2790,374,1288,27,35.15384615384615,76,60,420,1140,15,TRUE,FALSE,2790,347 West St,,,42.267019,-71.130262
WD,2791,375,1288,27,35.11538461538461,75,60,420,1140,15,TRUE,FALSE,2791,403 West St,,,42.268857,-71.131688
WD,2792,375,1289,27,35.15384615384615,76,60,420,1140,15,TRUE,FALSE,2792,Poplar St @ Deforest St,,,42.271001,-71.131905
WD,2793,376,1289,27,35.11538461538461,76,60,420,1140,15,TRUE,FALSE,2793,544 Poplar St,,,42.272166,-71.131665
WD,2794,376,1289,27,35.11538461538461,76,60,420,1140,15,TRUE,FALSE,2794,Poplar St @ Beech St,,,42.273372,-71.129526
WD,2795,377,1290,27,35.11538461538461,76,60,420,1140,15,TRUE,FALSE,2795,Poplar St opp Cornell St,,,42.274446,-71.127961
WD,2796,377,1290,27,35.11538461538461,76,60,420,1140,15,TRUE,FALSE,2796,Poplar St @ Metropolitan Ave,,,42.275802,-71.125725
WD,2797,378,1291,27,35.11538461538461,76,60,420,1140,15,TRUE,FALSE,2797,Metropolitan Ave @ Hilburn St,,,42.277378,-71.127103
WD,2798,379,1291,27,35.07692307692308,76,60,420,1140,15,TRUE,FALSE,2798,154 Metropolitan Ave opp Malverna Rd,,,42.278964,-71.12918
WD,28,349,1539,436,2.735632183908046,31,10,420,1140,15,TRUE,TRUE,28,E Broadway @ O St,,,42.335672,-71.029038
WD,280,315,1480,180,6.5083798882681565,55,20,420,1140,15,TRUE,TRUE,280,E 8th St @ I St,,,42.331426,-71.039724
WD,2800,379,1292,27,35.11538461538461,76,60,420,1140,15,TRUE,FALSE,2800,Metropolitan Ave @ Kittredge St,,,42.28011,-71.131416
WD,2801,354,1136,25,32.583333333333336,60,58.5,420,1140,15,FALSE,FALSE,2801,Metropolitan Ave @ Kittredge St,,,42.280149,-71.131686
WD,2803,354,1137,25,32.625,60,58.5,420,1140,15,FALSE,FALSE,2803,Metropolitan Ave @ Malverna Rd,,,42.278854,-71.129199
WD,2804,355,1137,25,32.583333333333336,60,58.5,420,1140,15,FALSE,FALSE,2804,Metropolitan Ave @ Highfield Rd,,,42.277545,-71.127459
WD,2805,355,1138,25,32.625,60,58.5,420,1140,15,FALSE,FALSE,2805,Poplar St @ Metropolitan Ave,,,42.275836,-71.125869
WD,2806,355,1138,25,32.625,60,58.5,420,1140,15,FALSE,FALSE,2806,Poplar St @ Cornell St,,,42.274646,-71.127923
WD,2807,356,1139,25,32.625,60,58.5,420,1140,15,FALSE,FALSE,2807,Poplar St @ Beech St,,,42.273537,-71.129374
WD,2808,356,1139,25,32.625,60,58.5,420,1140,15,FALSE,FALSE,2808,529 Poplar St,,,42.2722,-71.131783
WD,2809,356,1139,25,32.625,60,58.5,420,1140,15,FALSE,FALSE,2809,575 Poplar St opp Deforest St,,,42.27096,-71.132046
WD,281,315,1480,180,6.5083798882681565,55,20,420,1140,15,TRUE,TRUE,281,E 8th St @ H St,,,42.331405,-71.041311
WD,2810,356,1139,25,32.625,60,58.5,420,1140,15,FALSE,FALSE,2810,Poplar St @ West St - George Wright GC,,,42.269739,-71.132175
WD,2811,356,1139,25,32.625,60,58.5,420,1140,15,FALSE,FALSE,2811,338 West St,,,42.267994,-71.131246
WD,2812,357,1140,25,32.625,60,58.5,420,1140,15,TRUE,FALSE,2812,West St opp Deforest St,,,42.265268,-71.128517
WD,2813,358,1141,25,32.625,60,58.5,420,1140,15,TRUE,FALSE,2813,West St @ Myopia Rd,,,42.264047,-71.126829
WD,2814,358,1142,25,32.666666666666664,60,58.5,420,1140,15,TRUE,FALSE,2814,West St @ Austin St,,,42.263259,-71.125729
WD,2815,359,1143,25,32.666666666666664,60,58.5,420,1140,15,TRUE,FALSE,2815,Austin St @ Myopia Rd,,,42.261413,-71.125876
WD,2816,360,1144,25,32.666666666666664,60,58.5,420,1140,15,TRUE,FALSE,2816,Austin St @ Chestnut St,,,42.259267,-71.126059
WD,2817,362,1145,25,32.625,60,58.5,420,1140,15,TRUE,FALSE,2817,Austin St @ Gordon Ave,,,42.257289,-71.126828
WD,2818,286,1514,126,9.824,21,12,420,1140,15,TRUE,TRUE,2818,Opp 1344 Hyde Park Ave - Blake Estates,,,42.252059,-71.125337
WD,2819,286,1514,126,9.824,21,12,420,1140,15,TRUE,TRUE,2819,Hyde Park Ave @ Pingree St,,,42.254741,-71.124397
WD,282,316,1481,180,6.5083798882681565,55,20,420,1140,15,TRUE,TRUE,282,E 8th St @ G St,,,42.331329,-71.044314
WD,2821,302,1302,34,30.303030303030305,45,40,420,1140,15,TRUE,FALSE,2821,Main St @ Bunker Hill St,,,42.383307,-71.071852
WD,2822,302,1302,34,30.303030303030305,45,40,420,1140,15,TRUE,FALSE,2822,Main St @ Baldwin St,,,42.381149,-71.070908
WD,2823,303,1303,34,30.303030303030305,45,40,420,1140,15,TRUE,FALSE,2823,Main St @ Middlesex St,,,42.380135,-71.069908
WD,2824,303,1303,34,30.303030303030305,45,40,420,1140,15,TRUE,FALSE,2824,Main St @ Dunstable St,,,42.378076,-71.067792
WD,2825,303,1303,34,30.303030303030305,45,40,420,1140,15,TRUE,FALSE,2825,Main St @ W School St,,,42.376399,-71.065733
WD,2827,304,1304,34,30.303030303030305,45,40,420,1140,15,TRUE,FALSE,2827,Main St @ Harvard St,,,42.373649,-71.062769
WD,28281,295,1304,35,29.676470588235293,45,40,420,1140,15,TRUE,FALSE,28281,Main St @ Park St,,,42.37226,-71.061979
WD,2829,297,1525,295,4.1768707482993195,22,6,420,1140,15,TRUE,TRUE,2829,N Washington St @ Medford St,,,42.365749,-71.058505
WD,283,316,1481,180,6.5083798882681565,55,20,420,1140,15,TRUE,TRUE,283,E 8th St @ Covington St,,,42.331295,-71.046082
WD,28310,332,332,3,0,0,0,420,1140,15,FALSE,TRUE,28310,Cambridge St @ Saltonstall Bldg - Bowdoin Sq,,,42.360962,-71.061654
WD,2832,303,1535,298,4.148148148148148,17,6,420,1140,15,TRUE,TRUE,2832,N Washington St @ Cooper St,,,42.364582,-71.058203
WD,2835,352,1328,30,33.6551724137931,48,40,420,1140,15,TRUE,FALSE,2835,Warren St @ Winthrop St,,,42.373614,-71.061511
WD,2836,353,1329,30,33.6551724137931,48,40,420,1140,15,TRUE,FALSE,2836,Warren St @ Church St,,,42.375093,-71.063606
WD,2837,354,1330,30,33.6551724137931,48,40,420,1140,15,TRUE,FALSE,2837,Main St @ School St,,,42.376827,-71.066083
WD,2838,354,1330,30,33.6551724137931,48,40,420,1140,15,TRUE,FALSE,2838,Main St @ Walker St,,,42.378342,-71.067914
WD,2839,355,1331,30,33.6551724137931,48,40,420,1140,15,TRUE,FALSE,2839,Main St @ Oak St,,,42.380038,-71.069646
WD,284,316,1481,180,6.5083798882681565,55,20,420,1140,15,TRUE,TRUE,284,E 8th St @ Old Harbor St,,,42.331286,-71.047299
WD,2840,355,1331,30,33.6551724137931,48,40.2,420,1140,15,TRUE,FALSE,2840,Main St @ Baldwin St,,,42.38125,-71.070852
WD,2841,337,1551,79,15.564102564102564,45,27,420,1140,15,TRUE,FALSE,2841,529 Main St,,,42.384402,-71.072681
WD,2844,289,1517,48,26.127659574468087,48,45,420,1140,15,TRUE,FALSE,2844,Bunker Hill St @ Main St,,,42.383268,-71.07149
WD,2845,289,1517,48,26.127659574468087,48,45,420,1140,15,TRUE,FALSE,2845,Bunker Hill St @ Baldwin St,,,42.382401,-71.069733
WD,2846,290,1518,48,26.127659574468087,48,45,420,1140,15,TRUE,FALSE,2846,Bunker Hill St @ Auburn St,,,42.381948,-71.068789
WD,2847,290,1518,48,26.127659574468087,48,45,420,1140,15,TRUE,FALSE,2847,Bunker Hill St @ Clarken Ct,,,42.380878,-71.066635
WD,2848,291,1519,48,26.127659574468087,48,45,420,1140,15,TRUE,FALSE,2848,Bunker Hill St @ Sullivan St,,,42.379871,-71.064639
WD,2849,291,1519,48,26.127659574468087,48,45,420,1140,15,TRUE,FALSE,2849,Bunker Hill St @ Green St,,,42.378716,-71.062002
WD,285,317,1482,180,6.5083798882681565,55,20,420,1140,15,TRUE,TRUE,285,E 8th St @ Mercer St,,,42.331495,-71.048888
WD,2850,292,1520,49,25.583333333333332,48,45,420,1140,15,TRUE,FALSE,2850,Bunker Hill St @ Concord St,,,42.378284,-71.060779
WD,2851,292,1520,49,25.583333333333332,48,45,420,1140,15,TRUE,FALSE,2851,Bunker Hill St @ Ferrin St,,,42.377657,-71.058877
WD,2852,292,1520,38,33.189189189189186,49,45,420,1140,15,TRUE,FALSE,2852,Bunker Hill St @ Vine St,,,42.376755,-71.057048
WD,2853,293,1521,38,33.189189189189186,49,45,420,1140,15,TRUE,FALSE,2853,Bunker Hill St @ Lowney Way,,,42.375894,-71.056288
WD,2854,293,1521,38,33.189189189189186,49,45,420,1140,15,TRUE,FALSE,2854,Adams St @ Lowney Way,,,42.374386,-71.058189
WD,2855,294,1522,38,33.189189189189186,49,45,420,1140,15,TRUE,FALSE,2855,Park St @ Warren St,,,42.373222,-71.060875
WD,286,317,1482,180,6.5083798882681565,55,20,420,1140,15,TRUE,TRUE,286,E 8th St @ Dorchester St,,,42.332782,-71.050957
WD,2860,330,1544,49,25.291666666666668,67,45,420,1140,15,TRUE,FALSE,2860,Vine St @ Moulton St,,,42.376884,-71.056325
